"PROVINCE","FED_CODE","FED_NAME","VOTE_COUNT_Liberal","VOTE_COUNT_Conservative","VOTE_COUNT_Bloc","VOTE_COUNT_NDP","VOTE_COUNT_Green","VOTE_COUNT_Other","VOTE_PCT_Liberal","VOTE_PCT_Conservative","VOTE_PCT_Bloc","VOTE_PCT_NDP","VOTE_PCT_Green","VOTE_PCT_Other","WINNER"
"Ontario",35118,"Windsor—Tecumseh—Lakeshore",32086,32090,0,4240,468,1254,0.45746956001026545,0.4575265904359976,0,0.060452251276055774,0.006672559810658987,0.017879038467022157,"Conservative"
"Ontario",35119,"Windsor West",16986,21412,0,15256,397,837,0.3094665500655881,0.39010348345722196,0,0.2779478210173444,0.007232910654423553,0.01524923480542195,"Conservative"
"Ontario",35120,"York Centre",20318,26110,0,1191,0,0,0.4266784266784267,0.5483105483105483,0,0.02501102501102501,0,0,"Conservative"
"Ontario",35121,"York—Durham",28726,40329,0,1829,797,901,0.3957730566807197,0.5556336281722741,0,0.02519908517263233,0.010980683916122455,0.012413546058251358,"Conservative"
"Ontario",35122,"York South—Weston—Etobicoke",24663,17746,0,2190,0,0,0.5529944617592323,0.39790129823538645,0,0.049104240005381286,0,0,"Liberal"
"Manitoba",46001,"Brandon—Souris",10766,28624,0,6637,0,0,0.23390618549981532,0.6218958437438895,0,0.14419797075629523,0,0,"Conservative"
"Manitoba",46002,"Churchill—Keewatinook Aski",9313,4927,0,5880,0,349,0.45498070252577066,0.24070545703258586,0,0.28726366700864725,0,0.017050173432996238,"Liberal"
"Manitoba",46003,"Elmwood—Transcona",10512,19463,0,16138,321,396,0.22447149263292762,0.41560965193252186,0,0.34460815716421095,0.006854580397181294,0.008456117873158232,"Conservative"
"Manitoba",46004,"Kildonan—St. Paul",24808,26364,0,3863,0,486,0.44682192323625297,0.4748473550548441,0,0.06957727706633526,0,0.008753444642567677,"Conservative"
"Manitoba",46005,"Portage—Lisgar",10493,31889,0,2011,595,977,0.22828238877406723,0.693766996627869,0,0.04375067986511476,0.012944631785053845,0.021255302947895138,"Conservative"
"Manitoba",46006,"Provencher",13394,34364,0,2398,705,942,0.2585564542594058,0.6633592649074378,0,0.04629075536165859,0.013609250429511804,0.018184275041985984,"Conservative"
"Manitoba",46007,"Riding Mountain",9281,28409,0,3072,547,564,0.2216464069925728,0.6784562844792588,0,0.0733646980154276,0.013063310486470995,0.013469300026269912,"Conservative"
"Manitoba",46008,"St. Boniface—St. Vital",32599,17625,0,3773,0,523,0.597927366104182,0.3232758620689655,0,0.06920396184886281,0,0.009592809977989728,"Liberal"
"Manitoba",46009,"Selkirk—Interlake—Eastman",16570,32788,0,3535,709,877,0.3041538941610529,0.6018465830870611,0,0.06488738780080398,0.013014188953541731,0.016097945997540337,"Conservative"
"Manitoba",46010,"Winnipeg Centre",12138,7658,0,13524,389,580,0.35399107585523054,0.2233369302108548,0,0.3944122021639593,0.011344746128496019,0.01691504564145936,"NDP"
"Manitoba",46011,"Winnipeg North",19792,11740,0,2059,194,388,0.5791706903110643,0.3435460743862113,0,0.06025224592514558,0.00567699645919293,0.01135399291838586,"Liberal"
"Manitoba",46012,"Winnipeg South",27337,16252,0,2114,231,385,0.5901897709363328,0.3508711327964766,0,0.04564001813510654,0.0049871542995315096,0.008311923832552517,"Liberal"
"Manitoba",46013,"Winnipeg South Centre",33834,14748,0,3463,450,683,0.636240550603633,0.27733273158072885,0,0.06512091466395878,0.008462146000225657,0.012843657151453608,"Liberal"
"Manitoba",46014,"Winnipeg West",30276,22659,0,2218,438,0,0.5446205321005199,0.40760194995592813,0,0.03989854472846324,0.007878973215088774,0,"Liberal"
"Saskatchewan",47001,"Battlefords—Lloydminster—Meadow Lake",7073,28634,0,1816,0,264,0.18718077645751185,0.7577738375631831,0,0.048058856220393256,0,0.006986529758911795,"Conservative"
"Saskatchewan",47002,"Carlton Trail—Eagle Creek",8008,36427,0,2616,0,0,0.17019829546662132,0.7742024611591677,0,0.05559924337421096,0,0,"Conservative"
"Saskatchewan",47003,"Desnethé—Missinippi—Churchill River",5876,2301,0,850,0,0,0.6509360806469481,0.2549019607843137,0,0.09416195856873823,0,0,"Liberal"
"Saskatchewan",47004,"Moose Jaw—Lake Centre—Lanigan",7661,32991,0,3458,411,1358,0.16698271540356155,0.7190871640619891,0,0.07537217463327449,0.008958346956123717,0.02959959894505111,"Conservative"
"Saskatchewan",47005,"Prince Albert",7451,27763,0,3630,0,0,0.1918185562763876,0.714730717742766,0,0.09345072598084646,0,0,"Conservative"
"Saskatchewan",47006,"Regina—Lewvan",18893,21988,0,2573,272,243,0.42968909913802905,0.5000796015374468,0,0.058518501671632285,0.006186176624439947,0.005526621028451864,"Conservative"
"Saskatchewan",47007,"Regina—Qu'Appelle",11391,27024,0,3388,0,441,0.26964776062872836,0.6397121484707887,0,0.08020073856642364,0,0.010439352334059274,"Conservative"
"Saskatchewan",47008,"Regina—Wascana",19252,22072,0,2138,289,326,0.4367810876420809,0.5007600335776028,0,0.04850602354969712,0.006556707579916964,0.00739614765070218,"Conservative"
"Saskatchewan",47009,"Saskatoon South",20107,24516,0,4515,310,308,0.40411206688640566,0.49272449553822656,0,0.09074282498593135,0.006230404373341909,0.0061902082160945416,"Conservative"
"Saskatchewan",47010,"Saskatoon—University",19622,23178,0,4035,263,327,0.41374802319451764,0.4887295730100158,0,0.08508170795993675,0.005545598313125988,0.006895097522403796,"Conservative"
"Saskatchewan",47011,"Saskatoon West",10254,19814,0,7187,376,0,0.27248810820865776,0.526533974648561,0,0.19098615503175573,0.009991762111025483,0,"Conservative"
"Saskatchewan",47012,"Souris—Moose Mountain",4051,34793,0,1888,235,461,0.09778410736699816,0.8398426185188761,0,0.045573042386791544,0.005672492034372888,0.011127739692961281,"Conservative"
"Saskatchewan",47013,"Swift Current—Grasslands—Kindersley",4420,32292,0,2250,0,426,0.11221691885853559,0.8198436071900072,0,0.05712399715649436,0,0.010815476794962933,"Conservative"
"Saskatchewan",47014,"Yorkton—Melville",5338,28702,0,2034,713,226,0.1442195985194391,0.7754572717693783,0,0.05495366492853862,0.01926350201280631,0.006105962769837625,"Conservative"
"Alberta",48001,"Airdrie—Cochrane",16714,50252,0,2591,0,1003,0.2368764172335601,0.71218820861678,0,0.036720521541950116,0,0.01421485260770975,"Conservative"
"Alberta",48002,"Battle River—Crowfoot",7566,53684,0,2061,474,1022,0.1167466477386702,0.8283673060008949,0,0.03180212014134275,0.0073140247195519,0.015769901399540175,"Conservative"
"Alberta",48003,"Bow River",9562,44605,0,1689,0,698,0.16907734200940694,0.788715210241539,0,0.029865261519963222,0,0.01234218622909078,"Conservative"
"Alberta",48004,"Calgary Centre",28824,31604,0,1665,362,491,0.45791630921742443,0.5020811489212976,0,0.026451243923362882,0.005750961141295714,0.007800336796619325,"Conservative"
"Alberta",48005,"Calgary Confederation",33112,31839,0,2844,400,644,0.4810064062522698,0.4625139818997952,0,0.04131379014802655,0.00581065965513735,0.009355162044771133,"Liberal"
"Alberta",48006,"Calgary Crowfoot",25386,39971,0,1741,346,491,0.37368072422168247,0.5883712372120409,0,0.025627437992198424,0.0050931037020681535,0.007227496872010009,"Conservative"
"Alberta",48007,"Calgary East",17062,32490,0,2092,664,1366,0.3178820285426836,0.6053210120356225,0,0.03897604054104408,0.012370980362931773,0.025449938517718075,"Conservative"
"Alberta",48008,"Calgary Heritage",23673,42088,0,1691,493,548,0.3456265603784328,0.6144861518695341,0,0.024688654315039492,0.0071978158351948375,0.008000817601798724,"Conservative"
"Alberta",48009,"Calgary McKnight",19546,20863,0,1204,273,592,0.46014407457978246,0.49114835915061916,0,0.028344083996421677,0.006426856255002589,0.013936626018174114,"Conservative"
"Alberta",48010,"Calgary Midnapore",21979,48131,0,2271,495,556,0.2993109271162436,0.6554499400806189,0,0.030926571521952283,0.006740930384573483,0.007571630896611831,"Conservative"
"Alberta",48011,"Calgary Nose Hill",22276,36597,0,1975,430,314,0.36167034679828547,0.594184309650604,0,0.03206585270814392,0.00698142615924146,0.005098064683725159,"Conservative"
"Alberta",48012,"Calgary Shepard",18421,44363,0,1780,302,383,0.2823185029655627,0.6799031402780119,0,0.02728011157259115,0.004628423424113779,0.005869821759720456,"Conservative"
"Alberta",48013,"Calgary Signal Hill",25174,41638,0,1656,0,757,0.3636547490068617,0.6014879017695919,0,0.02392199349945829,0,0.010935355724088118,"Conservative"
"Alberta",48014,"Calgary Skyview",18842,27808,0,1351,0,2151,0.37569787844951347,0.554474397830595,0,0.026938108151220292,0,0.04288961556867124,"Conservative"
"Alberta",48015,"Edmonton Centre",24138,20626,0,8440,0,1224,0.44348497097082384,0.3789593591533769,0,0.15506724480047035,0,0.022488425075328874,"Liberal"
"Alberta",48016,"Edmonton Gateway",19435,26385,0,2565,0,3767,0.3726606841540114,0.505924988495168,0,0.04918315692590888,0,0.0722311704249118,"Conservative"
"Alberta",48017,"Edmonton Griesbach",8973,22256,0,16717,302,718,0.18324960176448965,0.4545194624841727,0,0.3414001552097374,0.006167544827022832,0.014663235714577462,"Conservative"
"Alberta",48018,"Edmonton Manning",17603,26445,0,4935,0,824,0.3534242174794708,0.5309494649346478,0,0.09908245828899552,0,0.01654385929688598,"Conservative"
"Alberta",48019,"Edmonton Northwest",20907,29194,0,3597,335,593,0.38272983560941676,0.5344341522351993,0,0.06584776480064439,0.00613261084465273,0.010855636510086772,"Conservative"
"Alberta",48020,"Edmonton Riverbend",27075,30343,0,2563,0,410,0.44832839330363794,0.502442416916428,0,0.04244009869020218,0,0.0067890910897319134,"Conservative"
"Alberta",48021,"Edmonton Southeast",18481,25206,0,2536,0,1441,0.3877349781805975,0.5288267875125882,0,0.053205773749580396,0,0.03023246055723397,"Conservative"
"Alberta",48022,"Edmonton Strathcona",10709,19768,0,28027,366,817,0.17941930403605474,0.3311943974399785,0,0.4695662372040813,0.006131988540218138,0.013688072779667264,"NDP"
"Alberta",48023,"Edmonton West",23995,31201,0,3164,0,655,0.406591544522579,0.5286960942133356,0,0.05361348809624672,0,0.011098873167838684,"Conservative"
"Alberta",48024,"Foothills",13706,54874,0,1923,589,796,0.19065768973959493,0.7633262853327398,0,0.026749944357890052,0.008193300689962163,0.011072779879813043,"Conservative"
"Alberta",48025,"Fort McMurray—Cold Lake",7193,39649,0,1337,290,997,0.14541301095702097,0.8015404520276553,0,0.027028666154530385,0.0058626127036752514,0.02015525815711802,"Conservative"
"Alberta",48026,"Grande Prairie",6946,47904,0,2460,0,1342,0.11842733410625383,0.8167496419559436,0,0.04194230375775762,0,0.02288072018004501,"Conservative"
"Alberta",48027,"Lakeland",6886,45826,0,2153,411,1317,0.12167582563214532,0.8097467884720725,0,0.03804357429364055,0.007262382273426042,0.023271429328715565,"Conservative"
"Alberta",48028,"Leduc—Wetaskiwin",11136,47947,0,3927,0,1151,0.17356337962313556,0.7472919686413865,0,0.06120540515266283,0,0.017939246582815104,"Conservative"
"Alberta",48029,"Lethbridge",21899,40866,0,2431,457,1284,0.3271583727983029,0.6105143642529542,0,0.03631773159836862,0.00682731523671512,0.019182216113659112,"Conservative"
"Alberta",48030,"Medicine Hat—Cardston—Warner",9554,41518,0,2588,440,0,0.1765988909426987,0.7674306839186691,0,0.047837338262476894,0.008133086876155268,0,"Conservative"
"Alberta",48031,"Parkland",12690,53468,0,2949,449,1551,0.17846344241776477,0.7519372213706105,0,0.04147271014105503,0.006314427552842899,0.021812198517726807,"Conservative"
"Alberta",48032,"Peace River—Westlock",6278,41130,0,2913,0,3048,0.11763383237459948,0.770672113024415,0,0.0545822481215687,0,0.05711180647941689,"Conservative"
"Alberta",48033,"Ponoka—Didsbury",0,56106,0,7414,0,5059,0,0.8181221656775398,0,0.10810889630936583,0,0.07376893801309439,"Conservative"
"Alberta",48034,"Red Deer",13564,44239,0,2375,618,1032,0.21938280390761467,0.7155172413793104,0,0.03841301675616226,0.00999547130749822,0.016691466649414503,"Conservative"
"Alberta",48035,"Sherwood Park—Fort Saskatchewan",22178,54131,0,4136,448,734,0.27169931517757606,0.663150673184118,0,0.050669508863488796,0.00548838007031987,0.008992122704497287,"Conservative"
"Alberta",48036,"St. Albert—Sturgeon River",22977,49216,0,3684,0,1084,0.29855381297020567,0.6394927300840686,0,0.04786840087836697,0,0.014085056067358792,"Conservative"
"Alberta",48037,"Yellowhead",17469,47863,0,2753,0,1205,0.2521143022081108,0.6907634579304373,0,0.03973156299610334,0,0.017390676865348537,"Conservative"
"British Columbia",59001,"Abbotsford—South Langley",18969,24116,0,2104,577,10206,0.3389015936539698,0.43085828628600015,0,0.0375902236832702,0.010308725791467162,0.18234117058529264,"Conservative"
"British Columbia",59002,"Burnaby Central",21745,19889,0,9353,0,506,0.4222904084050259,0.3862466743052454,0,0.18163633891985317,0,0.009826578369875516,"Liberal"
"British Columbia",59003,"Burnaby North—Seymour",37829,21742,0,4121,0,366,0.5905429454556808,0.3394111586374848,0,0.06433232383152768,0,0.005713572075306753,"Liberal"
"British Columbia",59004,"Cariboo—Prince George",19243,38175,0,3900,1155,818,0.30404006888815155,0.6031663269659193,0,0.06162013556429824,0.018249040147888324,0.012924428433742554,"Conservative"
"British Columbia",59005,"Chilliwack—Hope",23254,36027,0,4779,1083,611,0.3536514888828056,0.5479058308239803,0,0.07267998905009582,0.016470480883292272,0.009292210359826018,"Conservative"
"British Columbia",59006,"Cloverdale—Langley City",24828,25606,0,2350,493,289,0.4635029683007878,0.47802710674681703,0,0.0438711122727103,0.009203599298062203,0.005395213381622671,"Conservative"
"British Columbia",59007,"Columbia—Kootenay—Southern Rockies",20184,36081,0,12871,1064,1342,0.2821279807665427,0.5043331190070168,0,0.1799083056106902,0.01487238265634173,0.01875821195940846,"Conservative"
"British Columbia",59008,"Coquitlam—Port Coquitlam",27250,24730,0,4253,504,785,0.4737317895761622,0.42992246444838494,0,0.07393692847953827,0.00876186502555544,0.013646952470359167,"Liberal"
"British Columbia",59009,"Courtenay—Alberni",18078,28028,0,31617,1352,691,0.22663791590401924,0.3513777800065191,0,0.3963718877717323,0.01694957751422912,0.008662838803500238,"NDP"
"British Columbia",59010,"Cowichan—Malahat—Langford",21478,28370,0,24826,1500,0,0.2819597237902696,0.3724367894557198,0,0.3259117284112689,0.019691758342741617,0,"Conservative"
"British Columbia",59011,"Delta",32802,27314,0,2787,0,390,0.51825636326292,0.43154851247373327,0,0.04403330542082063,0,0.006161818842526029,"Liberal"
"British Columbia",59012,"Esquimalt—Saanich—Sooke",36181,21082,0,13666,1959,447,0.49336605986227583,0.2874752846526215,0,0.18635031022022228,0.026713029249335243,0.006095316015545102,"Liberal"
"British Columbia",59013,"Fleetwood—Port Kells",23250,21439,0,2885,460,499,0.47905548801846165,0.44174067129581934,0,0.05944408958852739,0.009478087074773866,0.010281664022417737,"Liberal"
"British Columbia",59014,"Kamloops—Shuswap—Central Rockies",26529,35556,0,3730,1639,602,0.38981133184436345,0.5224520982720113,0,0.05480780533678147,0.02408310802868226,0.008845656518161514,"Conservative"
"British Columbia",59015,"Kamloops—Thompson—Nicola",24961,32008,0,3681,936,516,0.4019355254259122,0.5154101317187852,0,0.059273453350938775,0.01507197835818492,0.008308911146178866,"Conservative"
"British Columbia",59016,"Kelowna",28702,27620,0,1941,578,0,0.48778912662939106,0.46940058802535645,0,0.032987202800768174,0.009823082544484288,0,"Liberal"
"British Columbia",59017,"Langley Township—Fraser Heights",28034,33574,0,2611,491,650,0.42891676866585066,0.5136780905752754,0,0.03994798041615667,0.007512239902080784,0.009944920440636475,"Conservative"
"British Columbia",59018,"Mission—Matsqui—Abbotsford",21838,33791,0,2745,723,502,0.3664155438849645,0.5669726002114129,0,0.04605781976207655,0.012131076024765515,0.008422960116780483,"Conservative"
"British Columbia",59019,"Nanaimo—Ladysmith",20656,26381,0,13586,13485,289,0.2776456039894082,0.35459763162493113,0,0.182614890385365,0.1812573087624501,0.003884565237845612,"Conservative"
"British Columbia",59020,"New Westminster—Burnaby—Maillardville",19547,17507,0,17574,690,385,0.35091467245929303,0.314291869378669,0,0.3154946771269052,0.012387124571387537,0.006911656463745221,"Liberal"
"British Columbia",59021,"North Island—Powell River",21218,31356,0,26357,1505,493,0.26218042975941874,0.3874507284162661,0,0.325680534789754,0.01859654759109837,0.006091759443462789,"Conservative"
"British Columbia",59022,"North Vancouver—Capilano",37907,21339,0,2684,1076,358,0.598241903920207,0.33676851208888325,0,0.042358436967363175,0.016981251183637396,0.0056498958399090965,"Liberal"
"British Columbia",59023,"Okanagan Lake West—South Kelowna",28827,33219,0,2189,602,397,0.44190146242756845,0.509228316522059,0,0.03355612104117485,0.009228316522059049,0.006085783487138609,"Conservative"
"British Columbia",59024,"Pitt Meadows—Maple Ridge",30728,31924,0,4141,0,540,0.456358694845024,0.47412115901563867,0,0.06150030445695276,0,0.008019841682384567,"Conservative"
"British Columbia",59025,"Port Moody—Coquitlam",27074,25126,0,9360,519,117,0.43530130555019614,0.4039809634060068,0,0.1504919930542157,0.008344588076403626,0.0018811499131776964,"Liberal"
"British Columbia",59026,"Prince George—Peace River—Northern Rockies",11545,41956,0,3542,1259,690,0.19570450230539735,0.7112150800108489,0,0.06004203959858964,0.021341876864659614,0.011696501220504476,"Conservative"
"British Columbia",59027,"Richmond Centre—Marpole",21232,23532,0,2109,420,193,0.4471212567914754,0.49555658509876593,0,0.044413090173946006,0.008844712125679147,0.004064355810133513,"Conservative"
"British Columbia",59028,"Richmond East—Steveston",25705,24605,0,2251,494,0,0.4844972198661766,0.4637640184713976,0,0.042427669399679575,0.009311092262746207,0,"Liberal"
"British Columbia",59029,"Saanich—Gulf Islands",25409,20015,0,3163,31199,0,0.3184643922492668,0.2508585466121876,0,0.03964354648685233,0.3910335146516933,0,"Green"
"British Columbia",59030,"Similkameen—South Okanagan—West Kootenay",25431,30054,0,11033,1044,654,0.37280110238067315,0.4405711270083265,0,0.16173624956022048,0.015304327430514835,0.00958719362026504,"Conservative"
"British Columbia",59031,"Skeena—Bulkley Valley",4923,21202,0,17677,528,602,0.10956556574379062,0.4718686014421793,0,0.393416718596991,0.011751090536811181,0.0133980236802279,"Conservative"
"British Columbia",59032,"South Surrey—White Rock",33094,29924,0,1634,875,0,0.5050437224350268,0.45666671753628274,0,0.024936285805851024,0.01335327422283944,0,"Liberal"
"British Columbia",59033,"Surrey Centre",19900,17920,0,2811,395,428,0.4800501760988083,0.4322863897331982,0,0.06781010276451006,0.00952863414869494,0.01032469725478844,"Liberal"
"British Columbia",59034,"Surrey Newton",20263,18023,0,2467,0,222,0.4945210494203783,0.4398535692495424,0,0.060207443563148264,0,0.005417937766931055,"Liberal"
"British Columbia",59035,"Vancouver Centre",29855,16368,0,6807,757,274,0.5522465363200829,0.30276909417139897,0,0.12591332013836223,0.014002700652966094,0.005068348717189841,"Liberal"
"British Columbia",59036,"Vancouver East",20287,10162,0,24945,1099,658,0.35497191650189847,0.17780966212314744,0,0.4364753022694266,0.01922975975923431,0.011513359346293153,"NDP"
"British Columbia",59037,"Vancouver Fraserview—South Burnaby",27117,18500,0,5088,658,482,0.5230398302632848,0.3568328672003086,0,0.09813868261163082,0.012691677114475842,0.009296942810299932,"Liberal"
"British Columbia",59038,"Vancouver Granville",37010,17133,0,4489,945,0,0.6212128841667086,0.28757742081675813,0,0.0753478691441328,0.015861825872400422,0,"Liberal"
"British Columbia",59039,"Vancouver Kingsway",18485,12352,0,18788,499,322,0.36643143162986164,0.24485588550132814,0,0.3724378543392935,0.009891765452166672,0.006383063077350037,"NDP"
"British Columbia",59040,"Vancouver Quadra",35384,17008,0,2391,1032,182,0.6318909941604014,0.3037305569941247,0,0.042698716002643,0.018429558726360342,0.0032501741164705253,"Liberal"
"British Columbia",59041,"Vernon—Lake Country—Monashee",28769,33850,0,3417,1105,0,0.4284863198343784,0.5041628811009666,0,0.050892897037577635,0.016457902027077344,0,"Conservative"
"British Columbia",59042,"Victoria",41128,12870,0,18877,2350,543,0.5428149086685672,0.16986062717770034,0,0.24914211804455708,0.03101573223524443,0.007166613873930947,"Liberal"
"British Columbia",59043,"West Vancouver—Sunshine Coast—Sea to Sky Country",38384,21181,0,2070,2205,407,0.597444238641493,0.32968076330412316,0,0.03221940324061824,0.03432066866935421,0.006334926144411412,"Liberal"
"Yukon",60001,"Yukon",12009,8719,0,1434,474,0,0.5305265948047359,0.3851828945043294,0,0.06335041526771515,0.02094009542321965,0,"Liberal"
"Northwest Territories",61001,"Northwest Territories",8855,5513,0,2011,170,0,0.5350776481962657,0.33313191129373376,0,0.12151791649042239,0.010272524019578223,0,"Liberal"
"Nunavut",62001,"Nunavut",2812,1992,0,2853,0,0,0.36724565756823824,0.26015410735274913,0,0.3726002350790127,0,0,"NDP"
